PC1,PC2,PC3,Cluster
0.8106298779750583,-1.4266258580516022,-1.0975500172498822,0
-0.4397353063805413,-1.314176264415558,3.4675405680421587,1
0.4600458285069615,0.667746447795946,-1.7172165734547569,0
-1.8224104986024057,0.4302438111801557,-0.2323572622111246,1
0.3779931473410476,-1.5321245722020265,-0.1738129109947372,1
-0.4079508128767614,1.1223756648377712,2.7433683763691836,1
0.1628331793124175,-2.655152247441882,-0.8286980245086457,1
-0.8709648723834992,-1.708696189460853,-1.7094384755689311,1
-0.07675821783412165,-2.9390829667654947,3.0150620333238387,1
-1.5772416358178947,-1.1296891532043027,-0.6766327360060986,1
-1.927088879419765,1.9127861169103975,0.5114921149243179,1
2.47575763530896,2.5650377858036797,1.0622075887807774,0
0.05454758256425016,-0.21543344285341948,-0.8928417810958071,1
-0.26723801530906116,2.5988204224978335,-1.5734304279154674,1
-1.7705856648338079,3.0245765730420304,-2.4938591583458285,1
0.7557667797955989,2.3303327985790876,-0.5240174601791634,0
1.7624626587810135,-1.0552645695976315,-1.4350091345441662,0
0.25916313198639573,-1.2753352912724183,-0.36025824443007565,1
-2.990959295798137,-0.3957501514772946,-0.4601116933681921,1
-1.4706060378409642,-1.01633351214884,-0.18871855851048333,1
4.413209993769081,2.001539920163065,-0.20274231484782096,0
3.0282218368647253,-1.7422281360214993,0.7293424565255344,0
0.9102523926076336,-0.5357719352355026,-0.6665688931827926,0
-0.2571060765486808,2.399234533759023,0.8576512785860082,1
0.1896642266362692,-0.2779895332701134,-1.2838612320246967,1
-0.7377086679989182,-1.8247818303991814,0.461567671902777,1
-1.1055624409330775,-1.3710534199369022,-1.5092631836078565,1
2.416206381292109,-0.3572417075916698,-0.8425568218644779,0
-0.7885538900787018,0.8140739017927208,-0.6884904864714239,1
1.7071903900525864,0.9152157972512308,2.6832824856729047,0
-2.522572327533915,2.53233620104979,1.8090995459083479,1
0.1564697361542436,-0.495083508121947,2.709464106755646,1
3.270732432543543,-0.12844932864251074,-0.024414218979820716,0
-1.6557291856612633,-2.8682276736767345,0.9939718882868896,1
-0.43464792329941,3.7981645074427157,-0.7441665542099871,1
-2.1284046861010273,-1.5667950658198502,-1.8521808343659774,1
-3.189616218287632,-0.8096485232313413,0.6293340085794787,1
1.3484543344895354,1.3525861192116346,0.7967601087979961,0
-0.41231725307491873,1.2128705551216945,1.2658339170773807,1
2.557436793558196,-1.0088787628100973,-0.9237380749215343,0
2.2306552741491807,-0.31907420582471185,-1.6139480196802942,0
-1.2244568445992539,0.0808980654176532,1.4016789067937354,1
-1.4033524556576862,-0.15095827679467852,-1.3381583201015206,1
0.4919968840273202,-0.9774574087632519,-1.3866495897940903,0
0.02258427733752218,3.9216230321738013,1.5786568209703782,1
-0.8201594347280111,-0.6730830993710389,0.700527889115387,1
3.3916032257161466,-0.07105476945905162,1.5396557094165289,0
-0.3063017754077317,-0.2446920166961905,0.4133469498440333,1
